Date,Rank,Title,Artist,Album,Release Date,Popularity,Spotify ID,Days Between Release and Chart Date
2025-04-26,47,twilight zone,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025-03-28,88,1YRbAonLvmuUILvQso0gUM,29
2025-04-26,48,ME JALO,"Fuerza Regida, Grupo Frontera",MALA MÍA,2024-12-19,92,3D24ErT1MMmUfXWotSj2A2,128
2025-04-26,49,RATHER LIE (with The Weeknd),"Playboi Carti, The Weeknd",MUSIC,2025-03-14,91,68qeaZhtMZ6abrJCYt6nQn,43
2025-04-26,50,Am I Okay?,Megan Moroney,Am I Okay?,2024-07-12,80,36wAwEkSDpNQ4oQeRLYC3L,288
2025-04-26,51,The Giver,Chappell Roan,The Giver,2025-03-13,89,5xHgo5JN0wfsV41HnRaos5,44
2025-04-26,52,weren't for the wind,Ella Langley,still hungover,2024-11-01,79,2A22iI0x4EYAVXNpKPhNEM,176
2025-04-26,53,BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,97,2lTm559tuIvatlT1u0JYG2,111
2025-04-26,54,SOMEBODY LOVES ME,"PARTYNEXTDOOR, Drake",$ome $exy $ongs 4 U,2025-02-14,82,2kZoOj1n5vk9BuF0sih58M,71
2025-04-26,55,BMF,SZA,SOS Deluxe: LANA,2024-12-20,89,3U3hFkMr0Q90pD24EkE3Pr,127
2025-04-26,56,back to friends,sombr,back to friends,2024-12-27,92,0FTmksd2dxiE5e3rWyJXs6,120
2025-04-26,57,Dutton Ranch Freestyle,David Morris,Bored In The USA,2023-11-10,65,13F5i1GqcozCFrZX9CpWi3,533
2025-04-26,58,Quero te ver gozar,Jaloo,MAU,2023-10-25,29,5YE3cApQuFEnAbvjAOR674,549
2025-04-26,59,Smile,Morgan Wallen,Smile,2024-12-31,83,3MJ6lFNV12FSHAOzTzkwxz,116
2025-04-26,60,Ojos Tristes (with The Marías),"Selena Gomez, benny blanco, The Marías",I Said I Love You First,2025-03-19,83,1DpC4L3JjsGRW7y6eTHaMj,38
