Updated Date,Date,Rank,Title,Artist,Album,Release Date,Popularity,Spotify ID
2025-04-21,2025-04-19,44,Good News,Shaboozey,Good News,2024-11-15,83,54p6vNJwGkt4FTaM8SCsxt
2025-04-21,2025-04-19,45,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,96,3QaPy1KgI7nu9FJEQUgn6h
2025-04-21,2025-04-19,46,RATHER LIE (with The Weeknd),"Playboi Carti, The Weeknd",MUSIC,2025-03-14,92,68qeaZhtMZ6abrJCYt6nQn
2025-04-21,2025-04-19,47,Sorry I'm Here For Someone Else,Benson Boone,Sorry I'm Here For Someone Else,2025-02-27,90,3x3K1RP3Zfi2qeMR8kyrNO
2025-04-21,2025-04-19,48,DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,98,3sK8wGT43QFpWrvNQsrQya
2025-04-21,2025-04-19,49,Cry For Me,The Weeknd,Hurry Up Tomorrow,2025-01-31,89,3AWDeHLc88XogCaCnZQLVI
2025-04-21,2025-04-19,50,Residuals,Chris Brown,11:11 (Deluxe),2024-04-11,77,4t4rGgiVX7woTmlnW9SHJ7
2025-04-21,2025-04-19,51,BMF,SZA,SOS Deluxe: LANA,2024-12-20,89,3U3hFkMr0Q90pD24EkE3Pr
2025-04-21,2025-04-19,52,End of the World,Miley Cyrus,End of the World,2025-04-04,86,5SxahezRlC0saXbCALfB7c
2025-04-21,2025-04-19,53,ME JALO,"Fuerza Regida, Grupo Frontera",MALA MÍA,2024-12-19,92,3D24ErT1MMmUfXWotSj2A2
2025-04-21,2025-04-19,54,BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,97,2lTm559tuIvatlT1u0JYG2
2025-04-21,2025-04-19,55,Am I Okay?,Megan Moroney,Am I Okay?,2024-07-12,80,36wAwEkSDpNQ4oQeRLYC3L
2025-04-21,2025-04-19,56,SOMEBODY LOVES ME,"PARTYNEXTDOOR, Drake",$ome $exy $ongs 4 U,2025-02-14,82,2kZoOj1n5vk9BuF0sih58M
2025-04-21,2025-04-19,57,Revolving door,Tate McRae,So Close To What,2025-02-21,91,541sN2qNfIlllGn9nGOQoC
2025-04-21,2025-04-19,58,Ojos Tristes (with The Marías),"Selena Gomez, benny blanco, The Marías",I Said I Love You First,2025-03-19,83,1DpC4L3JjsGRW7y6eTHaMj
2025-04-21,2025-04-19,59,Smile,Morgan Wallen,Smile,2024-12-31,83,3MJ6lFNV12FSHAOzTzkwxz
2025-04-21,2025-04-19,60,dandelion,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025-03-28,86,6wZOZ0votPhc8qdg4UFPtH
2025-04-21,2025-04-19,61,Quero te ver gozar,Jaloo,MAU,2023-10-25,29,5YE3cApQuFEnAbvjAOR674
2025-04-21,2025-04-19,62,EVIL J0RDAN,Playboi Carti,MUSIC,2025-03-14,91,6iycYUk3oB0NPMdaDUrN1w
2025-04-21,2025-04-19,63,weren't for the wind,Ella Langley,still hungover,2024-11-01,79,2A22iI0x4EYAVXNpKPhNEM
2025-04-21,2025-04-19,64,Call Me When You Break Up (with Gracie Abrams),"Selena Gomez, benny blanco, Gracie Abrams",Call Me When You Break Up (with Gracie Abrams),2025-02-20,83,4yFPKNzjkCS0PpRzhcvy1d
2025-04-21,2025-04-19,65,Loco,Neton Vega,Loco,2024-12-20,88,63EQbNhgaih4yg5412usWG
2025-04-21,2025-04-19,66,GIMME A HUG,Drake,$ome $exy $ongs 4 U,2025-02-14,82,5Nz7hI3cCOHmMR4vSLJ1An
2025-04-21,2025-04-19,67,Super Bowl LIX Halftime Show - Live,"Kendrick Lamar, NFL",Super Bowl LIX Halftime Show (Live),2025-02-09,72,6g6W3pMAFbp2FS1QCijkpM
2025-04-21,2025-04-19,68,Chest Pain (I Love),Malcolm Todd,Chest Pain (I Love),2024-12-04,87,3gPYoFtn70aTgl546XVSET
2025-04-21,2025-04-19,69,Hard Fought Hallelujah (with Jelly Roll),"Brandon Lake, Jelly Roll",Hard Fought Hallelujah (with Jelly Roll),2025-02-07,73,4cLC8gydI0O78g8chZugS4
2025-04-21,2025-04-19,70,back to friends,sombr,back to friends,2024-12-27,92,0FTmksd2dxiE5e3rWyJXs6
2025-04-21,2025-04-19,71,DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",$ome $exy $ongs 4 U,2025-02-14,89,0NUqi0ps17YpLUC3kgsZq0
2025-04-21,2025-04-19,72,Busy Woman,Sabrina Carpenter,Short n' Sweet (Deluxe),2025-02-14,92,0b0Dz0Gi86SVdBxYeiQcCP
2025-04-21,2025-04-19,73,Heart Of A Woman,Summer Walker,Heart Of A Woman,2024-10-25,76,2oVVaVY0LkzwAYYcyzon6Z
2025-04-21,2025-04-19,74,I'll Show Me,Guy Clark,My Favorite Picture Of You,2013-07-23,14,5mf5cPxDaV0MnZ672tUAwM
2025-04-21,2025-04-19,75,EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,6J5kc12BW5HuP3d7C3vvx8
2025-04-21,2025-04-19,76,SMUCKERS (feat. Lil Wayne & Kanye West),"Tyler, The Creator, Lil Wayne, Kanye West",Cherry Bomb,2015-04-13,69,078C2jXg7XsMgW78Gfx1JA
2025-04-21,2025-04-19,77,No Pole,Don Toliver,Love Sick (Deluxe),2023-02-28,90,0eaVIYo2zeOaGJeqZ5TwYz
2025-04-21,2025-04-19,78,Dutton Ranch Freestyle,David Morris,Bored In The USA,2023-11-10,65,13F5i1GqcozCFrZX9CpWi3
2025-04-21,2025-04-19,79,Love Me Not,Ravyn Lenae,Love Me Not / Love Is Blind,2024-05-03,84,1UNEuG9DYOWiikf00ayr52
2025-04-21,2025-04-19,80,Holy Smokes,Bailey Zimmerman,Holy Smokes,2024-02-23,77,1kMWJ16W3Yk3hyNmaM7jfQ
2025-04-21,2025-04-19,81,Texas,Blake Shelton,Texas,2024-11-15,72,3yU9fLsuDYjzVyZW2FLUqY
2025-04-21,2025-04-19,82,Are You Even Real (feat. Givēon),"Teddy Swims, GIVĒON",I've Tried Everything But Therapy (Part 2),2025-01-24,80,7pDFd3sgEoPnka6k9IyBcH
2025-04-21,2025-04-19,83,Morena,"Neton Vega, Peso Pluma",Mi Vida Mi Muerte,2025-02-14,92,4oB8Xd7gMlUEtWoD8bmCXW
2025-04-21,2025-04-19,84,Feel It (From “Invincible”),d4vd,Feel It (From “Invincible”),2024-03-28,92,3SAga35lAPYdjj3qyfEsCF
2025-04-21,2025-04-19,85,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,2024-11-15,91,0l0vcZMU7AOeQmUIREoI2U
2025-04-21,2025-04-19,86,Back To Me,The Marías,Back To Me,2025-04-04,82,4E0P1xs3JNmsNr5c5nFTZJ
2025-04-21,2025-04-19,87,Fix What You Didn't Break,Nate Smith,Fix What You Didn't Break,2024-08-23,74,0GJ8peTqHq9pu5Yf2vHjjX
2025-04-21,2025-04-19,88,Emergence,Sleep Token,Emergence,2025-03-13,86,5NRpxJxtR6JkUhQS4F0um6
2025-04-21,2025-04-19,89,intro (end of the world) - extended,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025-03-28,84,5BBkvXH2jYROUzKIB7WX7S
2025-04-21,2025-04-19,90,NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,5TFD2bmFKGhoCRbX61nXY5
2025-04-21,2025-04-19,91,Hometown Home,LOCASH,Hometown Home,2024-04-19,59,3L7OAEmomAi443kywQPGJD
2025-04-21,2025-04-19,92,The Largest,BigXthaPlug,The Largest,2024-08-09,68,1F5Qp0SJS0QUfqIoQggrLz
2025-04-21,2025-04-19,93,Headlock,Imogen Heap,Speak for Yourself (Deluxe Version),2005,90,63Pi2NAx5yCgeLhCTOrEou
2025-04-21,2025-04-19,94,TATTOO,Tito Double P,TATTOO,2025-02-27,91,3KgHiAVuP88QoQs9CO4z1P
2025-04-21,2025-04-19,95,Backseat Driver,Kane Brown,Backseat Driver,2024-10-11,70,68SYsp6XfIEnlDYMgMyxUv
2025-04-21,2025-04-19,96,undressed,sombr,undressed,2025-03-21,89,4AajxCEwGEsmHmT4H1TwjY
2025-04-21,2025-04-19,97,Little Things,Ella Mai,3,2024-11-03,75,2HA4tNLIXY1dGvDVCLeslk
2025-04-21,2025-04-19,98,Por Esos Ojos,Fuerza Regida,Por Esos Ojos,2025-02-11,91,5jHozZMWbrExAFni95mvvH
2025-04-21,2025-04-19,99,That's Me,Joelpatrick,That's Me,2019-08-05,34,5Z5Dxz3YMoe6F0GneatZGf
2025-04-21,2025-04-19,100,Khé?,"Rauw Alejandro, Romeo Santos",Cosa Nuestra,2024-11-15,89,1YYfyJ2yCvGFCxwjsIqEK9
